InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country
569019,22575,METAL MERRY CHRISTMAS WREATH,16,1.95,15602.0,United Kingdom
562096,22755,SMALL PURPLE BABUSHKA NOTEBOOK,2,0.85,15311.0,United Kingdom
579843,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,30,2.08,12921.0,United Kingdom
555654,22384,LUNCH BAG PINK POLKADOT,10,1.65,18236.0,United Kingdom
545149,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,1.25,15062.0,United Kingdom
560820,85099F,JUMBO BAG STRAWBERRY,4,2.08,17811.0,United Kingdom
540395,22795,SWEETHEART RECIPE BOOK STAND,2,6.75,14702.0,United Kingdom
556280,21165,BEWARE OF THE CAT METAL SIGN,4,1.69,14584.0,United Kingdom
563924,84843,WHITE SOAP RACK WITH 2 BOTTLES,1,5.95,15984.0,United Kingdom
581445,22398,MAGNETS PACK OF 4 SWALLOWS,12,0.39,17405.0,United Kingdom
540524,85066,CREAM SWEETHEART MINI CHEST,2,12.75,16735.0,United Kingdom
554628,85099B,JUMBO BAG RED RETROSPOT,10,2.08,15039.0,United Kingdom
560723,21755,LOVE BUILDING BLOCK WORD,1,5.95,16464.0,United Kingdom
549121,22423,REGENCY CAKESTAND 3 TIER,2,12.75,17140.0,United Kingdom
549940,37488A,YELLOW PINK FLOWER DESIGN BIG BOWL,22,0.39,13694.0,United Kingdom
568703,23547,WRAP FLOWER SHOP,25,0.42,12748.0,United Kingdom
577951,23084,RABBIT NIGHT LIGHT,3,2.08,17238.0,United Kingdom
579416,23113,PANTRY CHOPPING BOARD,6,4.95,12471.0,Germany
567197,23080,RED METAL BOX TOP SECRET,2,8.25,14934.0,Channel Islands
556415,22138,BAKING SET 9 PIECE RETROSPOT,24,4.25,12409.0,Switzerland
573117,22560,TRADITIONAL MODELLING CLAY,24,1.25,16688.0,United Kingdom
565083,22741,FUNKY DIVA PEN,48,0.85,16187.0,United Kingdom
566913,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,24,3.29,17602.0,United Kingdom
550183,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2.1,14105.0,United Kingdom
561669,23296,SET OF 6 TEA TIME BAKING CASES,128,1.04,12507.0,Spain
565460,22784,LANTERN CREAM GAZEBO,12,4.25,16843.0,United Kingdom
536527,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,12,1.25,12662.0,Germany
552312,22178,VICTORIAN GLASS HANGING T-LIGHT,12,1.25,13427.0,United Kingdom
579472,21172,PARTY METAL SIGN,1,1.45,13521.0,United Kingdom
566220,22942,CHRISTMAS LIGHTS 10 SANTAS,24,7.65,15251.0,United Kingdom
580611,22465,HANGING METAL STAR LANTERN,3,0.79,12748.0,United Kingdom
546366,21463,MIRRORED DISCO BALL,1,5.95,12748.0,United Kingdom
566851,20971,PINK BLUE FELT CRAFT TRINKET BOX,1,1.25,15573.0,United Kingdom
563565,84406B,CREAM CUPID HEARTS COAT HANGER,3,4.15,17338.0,United Kingdom
579286,23308,SET OF 60 VINTAGE LEAF CAKE CASES,1,0.55,17772.0,United Kingdom
577633,23126,FELTCRAFT GIRL AMELIE KIT,8,4.95,14194.0,United Kingdom
574714,21993,FLORAL FOLK STATIONERY SET,2,1.25,15427.0,United Kingdom
538035,84992,72 SWEETHEART FAIRY CAKE CASES,3,0.55,16065.0,United Kingdom
553938,23069,EDWARDIAN PHOTO FRAME,2,6.25,14112.0,United Kingdom
574304,85099F,JUMBO BAG STRAWBERRY,1,2.08,14428.0,United Kingdom
577497,22211,WOOD STAMP SET FLOWERS,4,0.83,17555.0,United Kingdom
557312,22440,BALLOON WATER BOMB PACK OF 35,20,0.42,17001.0,United Kingdom
550900,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,96,0.29,16553.0,United Kingdom
553034,22421,LIPSTICK PEN FUSCHIA,50,0.42,17970.0,United Kingdom
576857,20751,FUNKY WASHING UP GLOVES ASSORTED,2,2.1,12748.0,United Kingdom
548150,21916,SET 12 RETRO WHITE CHALK STICKS,8,0.42,17315.0,United Kingdom
569530,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,12,0.29,17957.0,United Kingdom
541596,22748,POPPY'S PLAYHOUSE KITCHEN,3,2.1,17602.0,United Kingdom
566424,22334,DINOSAUR PARTY BAG + STICKER SET,8,1.65,13309.0,United Kingdom
570183,22193,RED DINER WALL CLOCK,2,8.5,15208.0,United Kingdom
575935,21876,POTTERING MUG,12,1.65,17838.0,United Kingdom
578818,85032A,ROMANTIC IMAGES GIFT WRAP SET,1,0.65,17920.0,United Kingdom
536623,21069,VINTAGE BILLBOARD TEA MUG,12,1.25,15601.0,United Kingdom
566562,15036,ASSORTED COLOURS SILK FAN,12,0.83,17365.0,United Kingdom
563940,22384,LUNCH BAG PINK POLKADOT,10,1.65,17416.0,United Kingdom
580642,71477,COLOURED GLASS STAR T-LIGHT HOLDER,24,3.29,13311.0,United Kingdom
559876,21446,12 RED ROSE PEG PLACE SETTINGS,1,1.25,15752.0,United Kingdom
540994,22334,DINOSAUR PARTY BAG + STICKER SET,8,1.65,13089.0,United Kingdom
573496,22954,HEN PARTY CORDON BARRIER TAPE,4,1.25,17841.0,United Kingdom
575678,35970,ZINC FOLKART SLEIGH BELLS,12,1.69,16169.0,United Kingdom
556579,23118,PARISIENNE JEWELLERY DRAWER,2,7.5,15069.0,United Kingdom
574343,84832,ZINC WILLIE WINKIE  CANDLE STICK,12,0.85,12576.0,Poland
568142,21164,HOME SWEET HOME METAL SIGN,2,2.95,16744.0,United Kingdom
580541,22586,FELTCRAFT HAIRBAND PINK AND BLUE,12,0.85,15358.0,United Kingdom
543474,21845,DAIRY MAID STRIPE MUG,6,2.95,14415.0,United Kingdom
579750,23499,SET 12 VINTAGE DOILY CHALK,2,0.42,13536.0,United Kingdom
579260,23245,SET OF 3 REGENCY CAKE TINS,4,4.95,14618.0,United Kingdom
573579,22898,CHILDRENS APRON APPLES DESIGN,2,1.95,15033.0,United Kingdom
550313,23155,KNICKERBOCKERGLORY MAGNET ASSORTED,24,0.83,12681.0,France
542717,21733,RED HANGING HEART T-LIGHT HOLDER,1,2.95,17580.0,United Kingdom
551152,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,2,1.25,13230.0,United Kingdom
555553,20719,WOODLAND CHARLOTTE BAG,10,0.85,12662.0,Germany
556792,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,64,0.65,17043.0,United Kingdom
552358,21155,RED RETROSPOT PEG BAG,6,2.55,15673.0,United Kingdom
536464,22956,36 FOIL HEART CAKE CASES,1,2.1,17968.0,United Kingdom
571824,21121,SET/10 RED POLKADOT PARTY CANDLES,24,1.25,12472.0,Germany
561926,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,8.95,12749.0,United Kingdom
580654,22403,MAGNETS PACK OF 4 VINTAGE LABELS,1,0.39,15854.0,United Kingdom
559133,23256,CHILDRENS CUTLERY SPACEBOY,2,4.15,17861.0,United Kingdom
565850,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,8.95,14530.0,United Kingdom
577773,23119,PACK OF 6 LARGE FRUIT STRAWS,6,0.62,16712.0,United Kingdom
556876,22123,PING MICROWAVE APRON,1,1.95,16241.0,United Kingdom
564162,23550,WRAP ALPHABET POSTER,25,0.42,13481.0,United Kingdom
540907,22751,FELTCRAFT PRINCESS OLIVIA DOLL,4,3.75,13488.0,United Kingdom
539101,22780,LIGHT GARLAND BUTTERFILES PINK,200,3.37,16029.0,United Kingdom
578400,20836,FRENCH PAISLEY CUSHION COVER,6,0.83,12748.0,United Kingdom
574871,23356,LOVE HOT WATER BOTTLE,1,5.95,14527.0,United Kingdom
573379,22112,CHOCOLATE HOT WATER BOTTLE,3,4.95,15680.0,United Kingdom
571914,23006,TRAVEL CARD WALLET FLOWER MEADOW,24,0.42,14776.0,United Kingdom
538827,75178,ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,144,0.42,14298.0,United Kingdom
559298,23159,SET OF 5 PANCAKE DAY MAGNETS,12,2.08,12471.0,Germany
541593,22789,T-LIGHT HOLDER SWEETHEART HANGING,4,1.95,17611.0,United Kingdom
567818,21907,I'M ON HOLIDAY METAL SIGN,6,2.1,14395.0,United Kingdom
571909,22893,MINI CAKE STAND T-LIGHT HOLDER,3,0.42,15006.0,United Kingdom
546376,22794,SWEETHEART WIRE MAGAZINE RACK,2,7.95,13842.0,United Kingdom
559528,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,6.95,13064.0,United Kingdom
560255,23239,SET OF 4 KNICK KNACK TINS POPPIES,6,4.15,16054.0,United Kingdom
579792,23211,RED ROCKING HORSE HAND PAINTED,24,1.25,12714.0,France
560504,22227,HANGING HEART MIRROR DECORATION,24,0.65,13081.0,United Kingdom
575563,22588,CARD HOLDER GINGHAM HEART,6,2.89,17521.0,United Kingdom
541266,22197,SMALL POPCORN HOLDER,30,0.85,15673.0,United Kingdom
565316,21790,VINTAGE SNAP CARDS,12,0.85,15628.0,United Kingdom
578997,22057,CERAMIC PLATE STRAWBERRY DESIGN,4,1.49,18001.0,United Kingdom
554067,21260,FIRST AID TIN,6,3.25,18150.0,United Kingdom
558769,21034,REX CASH+CARRY JUMBO SHOPPER,2,0.95,17899.0,United Kingdom
575602,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1,2.08,17059.0,United Kingdom
574294,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1020,2.55,16333.0,United Kingdom
566296,84792,ENCHANTED BIRD COATHANGER 5 HOOK,2,4.65,17841.0,United Kingdom
564342,21650,ASSORTED TUTTI FRUTTI BRACELET,5,0.19,16340.0,United Kingdom
577511,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,2,1.25,17561.0,United Kingdom
558861,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,12,1.45,13373.0,United Kingdom
543668,22272,FELTCRAFT DOLL MARIA,1,2.95,18118.0,United Kingdom
548259,22270,HAPPY EASTER HANGING DECORATION,2,3.75,14099.0,United Kingdom
543770,22060,LARGE CAKE STAND HANGING HEARTS,2,9.95,13875.0,United Kingdom
556507,23281,FOLDING BUTTERFLY MIRROR RED,12,0.83,12567.0,France
541091,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,1.25,16814.0,United Kingdom
552572,23199,JUMBO BAG APPLES,100,1.79,14680.0,United Kingdom
561485,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1,9.95,17841.0,United Kingdom
548920,22398,MAGNETS PACK OF 4 SWALLOWS,12,1.25,13018.0,United Kingdom
550964,23158,SET OF 5 LUCKY CAT MAGNETS,12,2.08,15856.0,United Kingdom
568894,23377,PACK OF 12 DOLLY GIRL TISSUES,1,0.39,17528.0,United Kingdom
558888,22619,SET OF 6 SOLDIER SKITTLES,1,3.75,14056.0,United Kingdom
558535,22371,AIRLINE BAG VINTAGE TOKYO 78,1,4.25,16904.0,United Kingdom
543161,22561,WOODEN SCHOOL COLOURING SET,12,1.65,14497.0,United Kingdom
536846,22751,FELTCRAFT PRINCESS OLIVIA DOLL,1,3.75,14573.0,United Kingdom
561081,23310,BUBBLEGUM RING ASSORTED,36,0.42,13230.0,United Kingdom
538808,22616,PACK OF 12 LONDON TISSUES,60,0.29,14057.0,United Kingdom
545894,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,8.5,16242.0,United Kingdom
567475,23300,GARDENERS KNEELING PAD CUP OF TEA,5,1.65,16360.0,United Kingdom
552446,72741,GRAND CHOCOLATECANDLE,9,1.45,16729.0,United Kingdom
541018,21907,I'M ON HOLIDAY METAL SIGN,2,2.1,14978.0,United Kingdom
565806,23222,CHRISTMAS TREE HANGING GOLD,12,0.83,15594.0,United Kingdom
538354,22470,HEART OF WICKER LARGE,18,2.95,16873.0,United Kingdom
553859,23109,LED TEA LIGHTS,2,2.89,14505.0,United Kingdom
571238,22720,SET OF 3 CAKE TINS PANTRY DESIGN,6,4.95,14290.0,United Kingdom
544837,21181,PLEASE ONE PERSON METAL SIGN,1,2.1,15910.0,United Kingdom
561382,85111,SILVER GLITTER FLOWER VOTIVE HOLDER,6,0.29,16750.0,United Kingdom
562040,79321,CHILLI LIGHTS,48,4.95,17553.0,United Kingdom
570861,22208,WOOD STAMP SET THANK YOU,12,0.83,14775.0,United Kingdom
544115,22332,SKULLS PARTY BAG + STICKER SET,24,1.65,12727.0,France
559940,23172,REGENCY TEA PLATE PINK,36,1.45,17396.0,United Kingdom
566300,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2.95,18215.0,United Kingdom
538183,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,3.75,16265.0,United Kingdom
571270,22572,ROCKING HORSE GREEN CHRISTMAS,5,0.85,12940.0,United Kingdom
539561,21948,SET OF 6 CAKE CHOPSTICKS,24,1.25,16422.0,United Kingdom
580727,22945,CHRISTMAS METAL TAGS ASSORTED,6,1.8,14096.0,United Kingdom
552532,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,6,2.95,15615.0,United Kingdom
563912,23206,LUNCH BAG APPLE DESIGN,10,1.65,17675.0,United Kingdom
542425,22721,SET OF 3 CAKE TINS SKETCHBOOK,3,4.95,12574.0,France
553461,21508,VINTAGE KID DOLLY CARD,12,0.42,16316.0,United Kingdom
572312,21034,REX CASH+CARRY JUMBO SHOPPER,4,0.95,15022.0,United Kingdom
545474,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,4.95,16709.0,United Kingdom
547898,48194,DOORMAT HEARTS,6,7.95,16523.0,United Kingdom
547832,21498,RED RETROSPOT WRAP,25,0.42,17511.0,United Kingdom
577869,22151,PLACE SETTING WHITE HEART,4,0.42,13268.0,United Kingdom
567454,22583,PACK OF 6 HANDBAG GIFT BOXES,6,2.55,15839.0,United Kingdom
562881,22553,PLASTERS IN TIN SKULLS,24,1.65,15632.0,United Kingdom
566274,82494L,WOODEN FRAME ANTIQUE WHITE,4,2.95,13884.0,United Kingdom
575003,23273,HEART T-LIGHT HOLDER WILLIE WINKIE,12,1.65,15950.0,United Kingdom
561911,23297,SET 40 HEART SHAPE PETIT FOUR CASES,16,1.65,12534.0,Germany
578099,23256,CHILDRENS CUTLERY SPACEBOY,4,4.15,12452.0,Switzerland
565218,22077,6 RIBBONS RUSTIC CHARM,12,1.65,12739.0,United Arab Emirates
579840,20719,WOODLAND CHARLOTTE BAG,10,0.85,18158.0,United Kingdom
560284,84950,ASSORTED COLOUR T-LIGHT HOLDER,12,0.65,13705.0,United Kingdom
544479,20717,STRAWBERRY SHOPPER BAG,100,1.06,14646.0,Netherlands
561611,21864,UNION JACK FLAG PASSPORT COVER,11,2.1,17975.0,United Kingdom
581412,23255,CHILDRENS CUTLERY CIRCUS PARADE,3,4.15,14415.0,United Kingdom
580193,23317,BLUE REFECTORY CLOCK,1,9.95,16899.0,United Kingdom
574909,22138,BAKING SET 9 PIECE RETROSPOT,1,4.95,13673.0,United Kingdom
574686,84971S,SMALL HEART FLOWERS HOOK,3,0.85,17608.0,United Kingdom
564716,23289,DOLLY GIRL CHILDRENS BOWL,2,1.25,14810.0,United Kingdom
537396,20829,GLITTER HANGING BUTTERFLY STRING,1,2.1,17223.0,United Kingdom
560820,23202,JUMBO BAG VINTAGE LEAF,2,2.08,17811.0,United Kingdom
580290,51014C,"FEATHER PEN,COAL BLACK",12,0.39,17221.0,United Kingdom
541110,90210C,RED   ACRYLIC FACETED BANGLE,2,2.95,15916.0,United Kingdom
548317,21212,PACK OF 72 RETROSPOT CAKE CASES,24,0.55,18179.0,United Kingdom
536983,84849D,HOT BATHS SOAP HOLDER,12,1.69,12712.0,Germany
572872,22429,ENAMEL MEASURING JUG CREAM,1,4.25,15320.0,United Kingdom
571438,23543,WALL ART KEEP CALM,2,8.25,15066.0,United Kingdom
567859,23301,GARDENERS KNEELING PAD KEEP CALM,12,1.65,12936.0,United Kingdom
542914,85099F,JUMBO BAG STRAWBERRY,8,1.95,16161.0,United Kingdom
536401,82578,KITCHEN METAL SIGN,1,0.55,15862.0,United Kingdom
554042,23206,LUNCH BAG APPLE DESIGN,10,1.65,15237.0,United Kingdom
578551,72800B,4 PURPLE FLOCK DINNER CANDLES,1,2.55,12937.0,United Kingdom
553671,20936,FORKED CACTUS CANDLE,1,2.95,13659.0,United Kingdom
570225,22560,TRADITIONAL MODELLING CLAY,1,1.25,16595.0,United Kingdom
547063,22405,MONEY BOX POCKET MONEY DESIGN,1,1.25,14769.0,United Kingdom
